name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 95501 ,19,25,29.7527,+03,6,52.485,3.36
HIP 75264 ,15,22,40.8875,-44,41,22.463,3.37
HIP 43109 ,8,46,46.6462,+06,25,8.065,3.38
HIP 66249 ,13,34,41.7547,0,35,45.378,3.38
HIP 109492,22,10,51.2619,+58,12,4.5,3.39
HIP 50371 ,10,17,5.0053,-61,19,56.351,3.39
HIP 26207 ,5,35,8.2777,+09,56,2.987,3.39
HIP 63090 ,12,55,36.4833,+03,23,51.355,3.39
HIP 20894 ,4,28,39.6749,+15,52,15.408,3.4
HIP 74395 ,15,12,17.2032,-52,5,56.669,3.41
HIP 18724 ,4,0,40.8206,+12,29,25.353,3.41
HIP 112029,22,41,27.6748,+10,49,53.008,3.41
HIP 67464 ,13,49,30.2974,-41,41,15.575,3.41
HIP 102422,20,45,17.2686,+61,50,12.459,3.41
HIP 6867  ,1,28,21.9417,-43,19,3.825,3.41
HIP 102395,20,44,57.5557,-66,12,11.658,3.42
HIP 8796  ,1,53,4.8998,+29,34,45.83,3.42
HIP 86974 ,17,46,27.7189,+27,43,20.997,3.42
HIP 78384 ,16,0,7.3405,-38,23,47.907,3.42
HIP 93805 ,19,6,14.9499,-4,52,56.404,3.43
HIP 50335 ,10,16,41.4043,+23,25,2.382,3.43
HIP 45080 ,9,10,58.1053,-58,58,0.949,3.43
HIP 50372 ,10,17,5.927,+42,54,52.087,3.45
HIP 5364  ,1,8,35.2637,-10,10,54.941,3.46
HIP 38827 ,7,56,46.7417,-52,58,56.642,3.46
HIP 74666 ,15,15,30.1038,+33,18,54.368,3.46
HIP 3821  ,0,49,5.1006,+57,48,59.572,3.46
HIP 12706 ,2,43,18.1246,+03,14,10.218,3.47
HIP 67472 ,13,49,37.0078,-42,28,25.266,3.47
HIP 49583 ,10,7,19.9535,+16,45,45.597,3.48
HIP 81833 ,16,42,53.7386,+38,55,20.86,3.48
HIP 55219 ,11,18,28.7553,+33,5,39.26,3.49
HIP 112623,22,48,33.1971,-51,19,0.133,3.49
HIP 90422 ,18,26,58.4303,-45,58,5.985,3.49
HIP 8102  ,1,44,5.1275,-15,56,22.401,3.49
HIP 73555 ,15,1,56.7931,+40,23,26.292,3.49
HIP 33856 ,7,1,43.1517,-27,56,5.43,3.49
HIP 35550 ,7,20,7.3893,+21,58,56.422,3.5
HIP 32759 ,6,49,50.4655,-32,30,30.555,3.5
HIP 112724,22,49,40.9122,+66,12,2.559,3.5
HIP 112748,22,50,0.1003,+24,36,6.065,3.51
HIP 98337 ,19,58,45.3876,+19,29,31.534,3.51
HIP 17378 ,3,43,14.9561,-9,45,54.715,3.52
HIP 48774 ,9,56,51.7548,-54,34,4.07,3.52
HIP 47508 ,9,41,9.1179,+09,53,32.636,3.52
